V,Rpm,Ciclo de trabajo ,RPM,Ciclo  de trabajo ,RPM,Ciclos de trabajo,RPM,,,,,,,,
2.5,260,84,3212,83,3272,84,3220,,,,,,,,
2.6,320,80,3192,75,3263,80,3207,,,,,,,,
2.7,382,75,3183,70,3265,75,3168,,,,,,,,
2.8,444,70,3162,65,3262,70,3150,,,,,,,,
2.9,505,65,3146,60,3253,65,3124,,,,,,,,
3,550,60,3123,55,3230,60,3088,,,,,,,,
3.1,580,55,3083,50,3218,55,3010,,,,,,,,
3.2,660,50,3062,45,3195,50,2980,,,,,,,,
3.3,701,45,3026,40,3172,45,2899,,,,,,,,
3.4,756,40,2985,35,3134,40,2841,,,,,,,,
3.5,826,35,2885,30,3109,35,2755,,,,,,,,
3.6,854,30,2815,25,3054,30,2632,,,,,,,,
3.7,892,25,2777,20,3013,25,2468,,,,,,,,
3.8,950,20,2660,15,2984,20,2223,,,,,,,,
3.9,1025,15,2618,,,15,1666,,,,,,,,
4,1084,,,,,,,,,,,,,,
4.1,1143,,,,,,,,,,,,,,
4.2,1156,,,,,,,,,,,,,,
4.3,1252,,,,,,,,,,,,,,
4.4,1276,,,,,,,,,,,,,,
4.5,1360,,,,,,,,,,,,,,
4.6,1377,,,,,,,,,,,,,,
4.7,1422,,,,,,,,,,,,,,
4.8,1487,,,,,,,,,,,,,,
4.9,1544,,,,,,,,,,,,,,
5,1613,,,,,,,,,,,,,,
5.1,1675,,,,,,,,,,,,,,
5.2,1692,,,,,,,,,,,,,,
5.3,1791,,,,,,,,,,,,,,
5.4,1820,,,,,,,,,,,,,,
5.5,1851,,,,,,,,,,,,,,
5.6,1912,,,,,,,,,,,,,,
5.7,1989,,,,,,,,,,,,,,
5.8,2035,,,,,,,,,,,,,,
5.9,2076,,,,,,,,,,,,,,
6,2152,,,,,,,,,,,,,,
6.1,2200,,,,,,,,,,,,,,
6.2,2247,,,,,,,,,,,,,,
6.3,2274,,,,,,,,,,,,,,
6.4,2347,,,,,,,,,,,,,,
6.5,2410,,,,,,,,,,,,,,
6.6,2440,,,,,,,,,,,,,,
6.8,2573,,,,,,,,,,,,,,a
7,2658,,,,,,,,,,,,,,
7.2,2773,,,,,,,,,,,,,,
7.4,2890,,,,,,,,,,,,,,
7.6,2976,,,,,,,,,,,,,,
7.8,3066,,,,,,,,,,,,,,
8,3207,,,,,,,,,,,,,,
8.2,3284,,,,,,,,,,,,,,
8.4,3417,,,,,,,,,,,,,,
8.6,3505,,,,,,,,,,,,,,
8.8,3615,,,,,,,,,,,,,,
9,3640,,,,,,,,,,,,,,
9.2,3853,,,,,,,,,,,,,,
9.4,3945,,,,,,,,,,,,,,
