Time - Setppoint	Amplitude - Setppoint	Time - PV	Amplitude - PV	Time - Error	Amplitude - Error
10217	0	10217	9.49069	10217	-9.49069
10218	0	10218	9.54395	10218	-9.54395
10219	0	10219	9.57059	10219	-9.57059
10220	0	10220	9.49069	10220	-9.49069
10221	100	10221	9.54395	10221	90.456
10222	100	10222	11.2129	10222	88.7871
10223	100	10223	16.6815	10223	83.3185
10224	100	10224	24.9731	10224	75.0269
10225	100	10225	32.9008	10225	67.0992
10226	100	10226	40.6953	10226	59.3047
10227	100	10227	47.7087	10227	52.2913
10228	100	10228	54.5622	10228	45.4378
10229	100	10229	60.7854	10229	39.2146
10230	100	10230	67.2838	10230	32.7162
10231	100	10231	72.4062	10231	27.5938
10232	100	10232	78.0524	10232	21.9476
10233	100	10233	82.1717	10233	17.8283
10234	100	10234	84.5598	10234	15.4402
10235	100	10235	87.2941	10235	12.7059
10236	100	10236	87.667	10236	12.333
10237	100	10237	89.4514	10237	10.5486
10238	100	10238	89.3804	10238	10.6196
10239	100	10239	90.6055	10239	9.39452
10240	100	10240	90.1438	10240	9.85616
10241	100	10241	90.4812	10241	9.51881
10242	100	10242	90.5256	10242	9.47442
10243	100	10243	90.5522	10243	9.44779
10244	100	10244	90.6232	10244	9.37676
10245	100	10245	90.5788	10245	9.42115
10246	100	10246	90.6321	10246	9.36789
10247	100	10247	90.5611	10247	9.43891
10248	100	10248	90.5256	10248	9.47442
10249	100	10249	90.6232	10249	9.37676
10250	100	10250	90.9251	10250	9.07492
10251	100	10251	91.1381	10251	8.86186
10252	100	10252	91.2713	10252	8.72869
10253	100	10253	91.2358	10253	8.7642
10254	100	10254	91.2092	10254	8.79084
10255	100	10255	91.2624	10255	8.73757
10256	100	10256	91.2003	10256	8.79971
10257	100	10257	91.2092	10257	8.79084
10258	100	10258	91.3068	10258	8.69318
10259	100	10259	91.2979	10259	8.70206
10260	100	10260	92.1058	10260	7.89419
10261	100	10261	91.1914	10261	8.80859
10262	100	10262	91.2003	10262	8.79971
10263	100	10263	91.3068	10263	8.69318
10264	100	10264	91.2624	10264	8.73757
10265	100	10265	91.2447	10265	8.75533
10266	100	10266	91.2891	10266	8.71094
10267	100	10267	91.2713	10267	8.72869
10268	100	10268	91.1914	10268	8.80859
10269	100	10269	91.3335	10269	8.66655
10270	100	10270	91.2092	10270	8.79084
10271	100	10271	91.2447	10271	8.75533
10272	100	10272	91.4755	10272	8.5245
10273	100	10273	91.5554	10273	8.44461
10274	100	10274	91.6886	10274	8.31144
10275	100	10275	92.5586	10275	7.44142
10276	100	10276	91.7329	10276	8.26705
10277	100	10277	91.7329	10277	8.26705
10278	100	10278	91.6264	10278	8.37358
10279	100	10279	91.7329	10279	8.26705
10280	100	10280	91.6974	10280	8.30256
10281	100	10281	91.5731	10281	8.42685
10282	100	10282	91.7152	10282	8.28481
10283	100	10283	91.7329	10283	8.26705
10284	100	10284	91.7596	10284	8.24042
10285	100	10285	91.7596	10285	8.24042
10286	100	10286	91.6353	10286	8.36471
10287	100	10287	91.7951	10287	8.20491
10288	100	10288	92.4254	10288	7.57459
10289	100	10289	91.6353	10289	8.36471
10290	100	10290	92.5053	10290	7.49469
10291	100	10291	91.6708	10291	8.3292
10292	100	10292	92.4964	10292	7.50357
10293	100	10293	91.7329	10293	8.26705
10294	100	10294	91.7862	10294	8.21379
10295	100	10295	91.7596	10295	8.24042
10296	100	10296	91.7596	10296	8.24042
10297	100	10297	91.7685	10297	8.23154
10298	100	10298	91.653	10298	8.34695
10299	100	10299	91.6797	10299	8.32032
10300	100	10300	91.6886	10300	8.31144
10301	100	10301	92.5408	10301	7.45918
10302	100	10302	91.6087	10302	8.39134
10303	100	10303	92.4432	10303	7.55684
10304	100	10304	91.7862	10304	8.21379
10305	100	10305	92.5408	10305	7.45918
10306	100	10306	91.6708	10306	8.3292
10307	100	10307	92.5852	10307	7.41479
10308	100	10308	91.6353	10308	8.36471
10309	100	10309	92.6474	10309	7.35265
10310	100	10310	91.6974	10310	8.30256
10311	100	10311	92.4698	10311	7.5302
10312	100	10312	91.6264	10312	8.37358
10313	100	10313	92.4432	10313	7.55684
10314	100	10314	91.6264	10314	8.37358
10315	100	10315	92.1768	10315	7.82317
10316	100	10316	91.6797	10316	8.32032
