Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
35757,56.912,35757,73.125,35757,-16.213
35758,56.912,35758,73.125,35758,-16.213
35759,56.912,35759,70.3125,35759,-13.4005
35760,56.912,35760,59.0625,35760,-2.15051
35761,56.912,35761,47.8125,35761,9.09949
35762,56.912,35762,39.375,35762,17.537
35763,56.912,35763,39.375,35763,17.537
35764,56.912,35764,42.1875,35764,14.7245
35765,56.912,35765,59.0625,35765,-2.15051
35766,56.912,35766,70.3125,35766,-13.4005
35767,56.912,35767,70.3125,35767,-13.4005
35768,56.912,35768,70.3125,35768,-13.4005
35769,56.912,35769,67.5,35769,-10.588
35770,56.912,35770,59.0625,35770,-2.15051
35771,56.912,35771,47.8125,35771,9.09949
35772,56.912,35772,42.1875,35772,14.7245
35773,56.912,35773,42.1875,35773,14.7245
35774,56.912,35774,42.1875,35774,14.7245
35775,56.912,35775,53.4375,35775,3.47449
35776,56.912,35776,67.5,35776,-10.588
35777,56.912,35777,75.9375,35777,-19.0255
35778,56.912,35778,75.9375,35778,-19.0255
35779,56.912,35779,73.125,35779,-16.213
35780,56.912,35780,61.875,35780,-4.96301
35781,56.912,35781,50.625,35781,6.28699
35782,-57.9486,35782,42.1875,35782,-100.136
35783,-57.9486,35783,39.375,35783,-97.3236
35784,-57.9486,35784,30.9375,35784,-88.8861
35785,-57.9486,35785,19.6875,35785,-77.6361
35786,-57.9486,35786,5.625,35786,-63.5736
35787,-57.9486,35787,-11.25,35787,-46.6986
35788,-57.9486,35788,-25.3125,35788,-32.6361
35789,-57.9486,35789,-42.1875,35789,-15.7611
35790,-57.9486,35790,-61.875,35790,3.92643
35791,-57.9486,35791,-70.3125,35791,12.3639
35792,-57.9486,35792,-73.125,35792,15.1764
35793,-57.9486,35793,-73.125,35793,15.1764
35794,-57.9486,35794,-64.6875,35794,6.73893
35795,-57.9486,35795,-53.4375,35795,-4.51107
35796,-57.9486,35796,-47.8125,35796,-10.1361
35797,-57.9486,35797,-45,35797,-12.9486
35798,-57.9486,35798,-45,35798,-12.9486
35799,-57.9486,35799,-50.625,35799,-7.32357
35800,-57.9486,35800,-59.0625,35800,1.11393
35801,-57.9486,35801,-64.6875,35801,6.73893
35802,-57.9486,35802,-70.3125,35802,12.3639
35803,-57.9486,35803,-70.3125,35803,12.3639
35804,-57.9486,35804,-67.5,35804,9.55143
35805,-57.9486,35805,-59.0625,35805,1.11393
35806,-57.9486,35806,-47.8125,35806,-10.1361
35807,-57.9486,35807,-42.1875,35807,-15.7611
35808,-57.9486,35808,-42.1875,35808,-15.7611
35809,-57.9486,35809,-45,35809,-12.9486
35810,-57.9486,35810,-56.25,35810,-1.69857
35811,-57.9486,35811,-64.6875,35811,6.73893
35812,-57.9486,35812,-70.3125,35812,12.3639
35813,-57.9486,35813,-70.3125,35813,12.3639
35814,-57.9486,35814,-70.3125,35814,12.3639
35815,-57.9486,35815,-61.875,35815,3.92643
35816,-57.9486,35816,-50.625,35816,-7.32357
35817,-57.9486,35817,-47.8125,35817,-10.1361
35818,-57.9486,35818,-47.8125,35818,-10.1361
35819,-57.9486,35819,-50.625,35819,-7.32357
35820,-57.9486,35820,-56.25,35820,-1.69857
35821,-57.9486,35821,-61.875,35821,3.92643
35822,-57.9486,35822,-64.6875,35822,6.73893
35823,-57.9486,35823,-64.6875,35823,6.73893
35824,-57.9486,35824,-64.6875,35824,6.73893
35825,-57.9486,35825,-61.875,35825,3.92643
35826,-57.9486,35826,-56.25,35826,-1.69857
35827,-57.9486,35827,-53.4375,35827,-4.51107
35828,-57.9486,35828,-53.4375,35828,-4.51107
35829,-57.9486,35829,-53.4375,35829,-4.51107
35830,-57.9486,35830,-53.4375,35830,-4.51107
35831,-57.9486,35831,-56.25,35831,-1.69857
35832,-57.9486,35832,-59.0625,35832,1.11393
35833,-57.9486,35833,-59.0625,35833,1.11393
35834,-57.9486,35834,-59.0625,35834,1.11393
35835,-57.9486,35835,-59.0625,35835,1.11393
35836,-57.9486,35836,-59.0625,35836,1.11393
35837,-57.9486,35837,-59.0625,35837,1.11393
35838,-57.9486,35838,-59.0625,35838,1.11393
35839,-57.9486,35839,-59.0625,35839,1.11393
35840,-57.9486,35840,-59.0625,35840,1.11393
35841,-57.9486,35841,-59.0625,35841,1.11393
35842,-57.9486,35842,-59.0625,35842,1.11393
35843,-57.9486,35843,-59.0625,35843,1.11393
35844,-57.9486,35844,-59.0625,35844,1.11393
35845,-57.9486,35845,-59.0625,35845,1.11393
35846,-57.9486,35846,-59.0625,35846,1.11393
35847,-57.9486,35847,-59.0625,35847,1.11393
35848,-57.9486,35848,-59.0625,35848,1.11393
35849,-57.9486,35849,-59.0625,35849,1.11393
35850,-57.9486,35850,-59.0625,35850,1.11393
35851,-57.9486,35851,-59.0625,35851,1.11393
35852,-57.9486,35852,-59.0625,35852,1.11393
35853,-57.9486,35853,-59.0625,35853,1.11393
35854,-57.9486,35854,-59.0625,35854,1.11393
35855,-57.9486,35855,-59.0625,35855,1.11393
35856,-57.9486,35856,-59.0625,35856,1.11393
