Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
28755,-68.2525,28755,-67.5,28755,-0.752464
28756,-68.2525,28756,-67.5,28756,-0.752464
28757,-68.2525,28757,-67.5,28757,-0.752464
28758,-68.2525,28758,-67.5,28758,-0.752464
28759,-68.2525,28759,-67.5,28759,-0.752464
28760,-68.2525,28760,-67.5,28760,-0.752464
28761,-68.2525,28761,-67.5,28761,-0.752464
28762,-68.2525,28762,-67.5,28762,-0.752464
28763,-68.2525,28763,-67.5,28763,-0.752464
28764,-68.2525,28764,-67.5,28764,-0.752464
28765,-68.2525,28765,-67.5,28765,-0.752464
28766,-68.2525,28766,-67.5,28766,-0.752464
28767,-68.2525,28767,-67.5,28767,-0.752464
28768,-68.2525,28768,-67.5,28768,-0.752464
28769,-68.2525,28769,-67.5,28769,-0.752464
28770,-68.2525,28770,-67.5,28770,-0.752464
28771,-68.2525,28771,-67.5,28771,-0.752464
28772,-68.2525,28772,-67.5,28772,-0.752464
28773,-68.2525,28773,-67.5,28773,-0.752464
28774,-68.2525,28774,-67.5,28774,-0.752464
28775,-68.2525,28775,-67.5,28775,-0.752464
28776,-68.2525,28776,-67.5,28776,-0.752464
28777,-68.2525,28777,-67.5,28777,-0.752464
28778,-68.2525,28778,-67.5,28778,-0.752464
28779,-68.2525,28779,-67.5,28779,-0.752464
28780,-68.2525,28780,-67.5,28780,-0.752464
28781,-68.2525,28781,-67.5,28781,-0.752464
28782,36.6479,28782,-67.5,28782,104.148
28783,36.6479,28783,-67.5,28783,104.148
28784,36.6479,28784,-59.0625,28784,95.7104
28785,36.6479,28785,-47.8125,28785,84.4604
28786,36.6479,28786,-33.75,28786,70.3979
28787,36.6479,28787,-19.6875,28787,56.3354
28788,36.6479,28788,-2.8125,28788,39.4604
28789,36.6479,28789,16.875,28789,19.7729
28790,36.6479,28790,33.75,28790,2.89788
28791,36.6479,28791,50.625,28791,-13.9771
28792,36.6479,28792,61.875,28792,-25.2271
28793,36.6479,28793,61.875,28793,-25.2271
28794,36.6479,28794,61.875,28794,-25.2271
28795,36.6479,28795,53.4375,28795,-16.7896
28796,36.6479,28796,39.375,28796,-2.72712
28797,36.6479,28797,28.125,28797,8.52288
28798,36.6479,28798,19.6875,28798,16.9604
28799,36.6479,28799,16.875,28799,19.7729
28800,36.6479,28800,16.875,28800,19.7729
28801,36.6479,28801,25.3125,28801,11.3354
28802,36.6479,28802,39.375,28802,-2.72712
28803,36.6479,28803,45,28803,-8.35212
28804,36.6479,28804,47.8125,28804,-11.1646
28805,36.6479,28805,47.8125,28805,-11.1646
28806,36.6479,28806,47.8125,28806,-11.1646
28807,36.6479,28807,39.375,28807,-2.72712
28808,36.6479,28808,33.75,28808,2.89788
28809,36.6479,28809,28.125,28809,8.52288
28810,36.6479,28810,28.125,28810,8.52288
28811,36.6479,28811,28.125,28811,8.52288
28812,36.6479,28812,28.125,28812,8.52288
28813,36.6479,28813,30.9375,28813,5.71038
28814,36.6479,28814,36.5625,28814,0.0853781
28815,36.6479,28815,42.1875,28815,-5.53962
28816,36.6479,28816,45,28816,-8.35212
28817,36.6479,28817,45,28817,-8.35212
28818,36.6479,28818,45,28818,-8.35212
28819,36.6479,28819,42.1875,28819,-5.53962
28820,36.6479,28820,39.375,28820,-2.72712
28821,36.6479,28821,33.75,28821,2.89788
28822,36.6479,28822,30.9375,28822,5.71038
28823,36.6479,28823,30.9375,28823,5.71038
28824,36.6479,28824,30.9375,28824,5.71038
28825,36.6479,28825,30.9375,28825,5.71038
28826,36.6479,28826,30.9375,28826,5.71038
28827,36.6479,28827,33.75,28827,2.89788
28828,36.6479,28828,39.375,28828,-2.72712
28829,36.6479,28829,39.375,28829,-2.72712
28830,36.6479,28830,39.375,28830,-2.72712
28831,36.6479,28831,39.375,28831,-2.72712
28832,36.6479,28832,39.375,28832,-2.72712
28833,36.6479,28833,39.375,28833,-2.72712
28834,36.6479,28834,39.375,28834,-2.72712
28835,36.6479,28835,39.375,28835,-2.72712
28836,36.6479,28836,39.375,28836,-2.72712
28837,36.6479,28837,39.375,28837,-2.72712
28838,36.6479,28838,39.375,28838,-2.72712
28839,36.6479,28839,39.375,28839,-2.72712
28840,36.6479,28840,39.375,28840,-2.72712
28841,36.6479,28841,39.375,28841,-2.72712
28842,36.6479,28842,39.375,28842,-2.72712
28843,36.6479,28843,39.375,28843,-2.72712
28844,36.6479,28844,39.375,28844,-2.72712
28845,36.6479,28845,39.375,28845,-2.72712
28846,36.6479,28846,39.375,28846,-2.72712
28847,36.6479,28847,39.375,28847,-2.72712
28848,36.6479,28848,39.375,28848,-2.72712
28849,36.6479,28849,39.375,28849,-2.72712
28850,36.6479,28850,39.375,28850,-2.72712
28851,36.6479,28851,39.375,28851,-2.72712
28852,36.6479,28852,39.375,28852,-2.72712
28853,36.6479,28853,39.375,28853,-2.72712
28854,36.6479,28854,39.375,28854,-2.72712
