Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
63902,36.7277,63902,-145.985,63902,182.713
63903,36.7277,63903,-165.542,63903,202.27
63904,36.7277,63904,172.842,63904,-136.114
63905,36.7277,63905,149.839,63905,-113.111
63906,36.7277,63906,155.72,63906,-118.993
63907,36.7277,63907,178.471,63907,-141.743
63908,36.7277,63908,-156.639,63908,193.367
63909,36.7277,63909,-130.116,63909,166.844
63910,36.7277,63910,-134.611,63910,171.339
63911,36.7277,63911,-153.809,63911,190.536
63912,36.7277,63912,-174.948,63912,211.676
63913,36.7277,63913,162.388,63913,-125.66
63914,36.7277,63914,139.022,63914,-102.294
63915,36.7277,63915,149.067,63915,-112.339
63916,36.7277,63916,171.726,63916,-134.998
63917,36.7277,63917,-163.615,63917,200.343
63918,36.7277,63918,-137.773,63918,174.501
63919,36.7277,63919,-142.855,63919,179.582
63920,36.7277,63920,-162.457,63920,199.184
63921,36.7277,63921,175.758,63921,-139.03
63922,36.7277,63922,152.924,63922,-116.197
63923,36.7277,63923,160.088,63923,-123.36
63924,36.7277,63924,-177.168,63924,213.896
63925,36.7277,63925,-152.135,63925,188.862
63926,36.7277,63926,-153.861,63926,190.588
63927,36.7277,63927,152.841,63927,-116.113
63928,36.7277,63928,149.344,63928,-112.617
63929,36.7277,63929,168.09,63929,-131.362
63930,36.7277,63930,168.11,63930,-131.382
63931,36.7277,63931,-178.735,63931,215.462
63932,36.7277,63932,-154.432,63932,191.16
63933,36.7277,63933,-160.747,63933,197.475
63934,36.7277,63934,178.646,63934,-141.918
63935,36.7277,63935,156.355,63935,-119.627
63936,36.7277,63936,164.893,63936,-128.165
63937,36.7277,63937,-171.768,63937,208.496
63938,36.7277,63938,-146.037,63938,182.764
63939,36.7277,63939,-151.395,63939,188.122
63940,36.7277,63940,-171.486,63940,208.213
63941,36.7277,63941,166.212,63941,-129.485
63942,36.7277,63942,142.629,63942,-105.901
63943,36.7277,63943,150.017,63943,-113.289
63944,36.7277,63944,172.524,63944,-135.797
63945,36.7277,63945,-163.052,63945,199.78
63946,36.7277,63946,-137.365,63946,174.093
63947,36.7277,63947,-146.969,63947,183.697
63948,36.7277,63948,-166.868,63948,203.596
63949,36.7277,63949,171.275,63949,-134.547
63950,36.7277,63950,148.166,63950,-111.438
63951,36.7277,63951,157.582,63951,-120.854
63952,36.7277,63952,-179.663,63952,216.391
63953,36.7277,63953,-154.77,63953,191.497
63954,36.7277,63954,-156.254,63954,192.982
63955,36.7277,63955,-176.129,63955,212.856
63956,36.7277,63956,161.425,63956,-124.698
63957,36.7277,63957,137.598,63957,-100.87
63958,36.7277,63958,145.095,63958,-108.367
63959,36.7277,63959,167.245,63959,-130.518
63960,36.7277,63960,-168.37,63960,205.097
63961,36.7277,63961,-142.258,63961,178.986
63962,36.7277,63962,-145.929,63962,182.657
63963,36.7277,63963,136.834,63963,-100.106
63964,36.7277,63964,129.98,63964,-93.2525
63965,36.7277,63965,141.776,63965,-105.048
63966,36.7277,63966,163.431,63966,-126.703
63967,36.7277,63967,-172.613,63967,209.341
63968,36.7277,63968,-146.804,63968,183.532
63969,36.7277,63969,-153.433,63969,190.16
63970,36.7277,63970,-173.854,63970,210.582
63971,36.7277,63971,163.349,63971,-126.622
63972,36.7277,63972,139.521,63972,-102.793
63973,36.7277,63973,148.167,63973,-111.439
63974,36.7277,63974,171.096,63974,-134.368
63975,36.7277,63975,-163.844,63975,200.572
63976,36.7277,63976,-137.252,63976,173.979
63977,36.7277,63977,-143.73,63977,180.457
63978,36.7277,63978,-163.804,63978,200.531
63979,36.7277,63979,174.143,63979,-137.415
63980,36.7277,63980,150.724,63980,-113.996
63981,36.7277,63981,158.124,63981,-121.396
63982,36.7277,63982,-178.745,63982,215.473
63983,36.7277,63983,-153.209,63983,189.937
63984,36.7277,63984,-155.444,63984,192.172
63985,36.7277,63985,-175.363,63985,212.091
63986,36.7277,63986,161.991,63986,-125.263
63987,36.7277,63987,137.995,63987,-101.267
63988,36.7277,63988,145.19,63988,-108.462
63989,36.7277,63989,167.709,63989,-130.981
63990,36.7277,63990,-167.502,63990,204.23
63991,36.7277,63991,-141.161,63991,177.889
63992,36.7277,63992,-145.233,63992,181.961
63993,36.7277,63993,-164.97,63993,201.698
63994,36.7277,63994,173.051,63994,-136.324
63995,36.7277,63995,149.693,63995,-112.966
63996,36.7277,63996,154.358,63996,-117.63
63997,36.7277,63997,177.117,63997,-140.389
63998,36.7277,63998,-157.938,63998,194.665
63999,36.7277,63999,-131.166,63999,167.893
64000,36.7277,64000,-136.359,64000,173.086
64001,36.7277,64001,-155.95,64001,192.677
