Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
64710,50.7833,64710,166.78,64710,-115.996
64711,50.7833,64711,166.778,64711,-115.995
64712,50.7833,64712,166.79,64712,-116.007
64713,50.7833,64713,166.669,64713,-115.886
64714,50.7833,64714,166.678,64714,-115.895
64715,50.7833,64715,166.685,64715,-115.901
64716,50.7833,64716,166.688,64716,-115.905
64717,50.7833,64717,166.675,64717,-115.892
64718,50.7833,64718,166.677,64718,-115.893
64719,50.7833,64719,166.661,64719,-115.878
64720,50.7833,64720,166.667,64720,-115.883
64721,-52.4868,64721,166.661,64721,-219.148
64722,-52.4868,64722,166.662,64722,-219.149
64723,-52.4868,64723,166.677,64723,-219.164
64724,-52.4868,64724,166.705,64724,-219.192
64725,-52.4868,64725,171.036,64725,-223.522
64726,-52.4868,64726,178.096,64726,-230.583
64727,-52.4868,64727,-174.84,64727,122.353
64728,-52.4868,64728,-167.264,64728,114.777
64729,-52.4868,64729,-166.524,64729,114.037
64730,-52.4868,64730,-166.535,64730,114.049
64731,-52.4868,64731,-166.532,64731,114.045
64732,-52.4868,64732,-166.543,64732,114.056
64733,-52.4868,64733,-166.618,64733,114.132
64734,-52.4868,64734,-166.614,64734,114.127
64735,-52.4868,64735,-166.628,64735,114.141
64736,-52.4868,64736,-166.539,64736,114.052
64737,-52.4868,64737,-166.628,64737,114.141
64738,-52.4868,64738,-166.538,64738,114.051
64739,-52.4868,64739,-166.619,64739,114.132
64740,-52.4868,64740,-166.627,64740,114.141
64741,-52.4868,64741,-166.544,64741,114.058
64742,-52.4868,64742,-166.61,64742,114.123
64743,-52.4868,64743,-166.616,64743,114.129
64744,-52.4868,64744,-166.549,64744,114.062
64745,-52.4868,64745,-166.55,64745,114.063
64746,-52.4868,64746,-166.609,64746,114.123
64747,-52.4868,64747,-166.616,64747,114.129
64748,-52.4868,64748,-166.614,64748,114.128
64749,-52.4868,64749,-166.625,64749,114.138
64750,-52.4868,64750,-166.635,64750,114.148
64751,-52.4868,64751,-166.571,64751,114.084
64752,-52.4868,64752,-166.536,64752,114.05
64753,-52.4868,64753,-166.622,64753,114.136
64754,-52.4868,64754,-166.613,64754,114.126
64755,-52.4868,64755,-166.542,64755,114.055
64756,-52.4868,64756,-166.54,64756,114.053
64757,-52.4868,64757,-166.636,64757,114.15
64758,-52.4868,64758,-166.552,64758,114.065
64759,-52.4868,64759,-166.55,64759,114.064
64760,-52.4868,64760,-166.541,64760,114.055
64761,-52.4868,64761,-166.597,64761,114.11
64762,-52.4868,64762,-166.61,64762,114.123
64763,-52.4868,64763,-166.61,64763,114.123
64764,-52.4868,64764,-166.611,64764,114.124
64765,-52.4868,64765,-166.619,64765,114.132
64766,-52.4868,64766,-166.631,64766,114.144
64767,-52.4868,64767,-166.557,64767,114.07
64768,-52.4868,64768,-166.546,64768,114.059
64769,-52.4868,64769,-166.546,64769,114.059
64770,-52.4868,64770,-166.542,64770,114.055
64771,-52.4868,64771,-166.618,64771,114.131
64772,-52.4868,64772,-166.539,64772,114.052
64773,-52.4868,64773,-166.616,64773,114.129
64774,-52.4868,64774,-166.611,64774,114.124
64775,-52.4868,64775,-166.624,64775,114.137
64776,-52.4868,64776,-166.541,64776,114.054
64777,-52.4868,64777,-166.613,64777,114.127
64778,-52.4868,64778,-166.598,64778,114.112
64779,-52.4868,64779,-166.615,64779,114.128
64780,-52.4868,64780,-166.62,64780,114.133
64781,-52.4868,64781,-166.547,64781,114.061
64782,-52.4868,64782,-166.62,64782,114.133
64783,-52.4868,64783,-166.616,64783,114.13
64784,-52.4868,64784,-166.548,64784,114.061
64785,-52.4868,64785,-166.536,64785,114.049
64786,-52.4868,64786,-166.621,64786,114.134
64787,-52.4868,64787,-166.553,64787,114.066
64788,-52.4868,64788,-166.616,64788,114.129
64789,-52.4868,64789,-166.548,64789,114.061
64790,-52.4868,64790,-166.616,64790,114.129
64791,-52.4868,64791,-166.613,64791,114.126
64792,-52.4868,64792,-166.538,64792,114.051
64793,-52.4868,64793,-166.63,64793,114.144
64794,-52.4868,64794,-166.543,64794,114.056
64795,-52.4868,64795,-166.538,64795,114.051
64796,-52.4868,64796,-166.611,64796,114.124
64797,-52.4868,64797,-166.618,64797,114.132
64798,-52.4868,64798,-166.616,64798,114.13
64799,-52.4868,64799,-166.616,64799,114.13
64800,-52.4868,64800,-166.605,64800,114.118
64801,-52.4868,64801,-166.544,64801,114.057
64802,-52.4868,64802,-166.606,64802,114.12
64803,-52.4868,64803,-166.618,64803,114.131
64804,-52.4868,64804,-166.606,64804,114.12
64805,-52.4868,64805,-166.542,64805,114.055
64806,-52.4868,64806,-166.537,64806,114.05
64807,-52.4868,64807,-166.543,64807,114.056
64808,-52.4868,64808,-166.544,64808,114.057
64809,-52.4868,64809,-166.607,64809,114.12
