Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
64906,-60.6741,64906,-160.977,64906,100.303
64907,-60.6741,64907,-160.968,64907,100.294
64908,-60.6741,64908,-160.964,64908,100.289
64909,-60.6741,64909,-160.966,64909,100.292
64910,-60.6741,64910,-161.058,64910,100.384
64911,-60.6741,64911,-160.962,64911,100.288
64912,-60.6741,64912,-160.946,64912,100.272
64913,-60.6741,64913,-161.041,64913,100.367
64914,-60.6741,64914,-160.956,64914,100.282
64915,-60.6741,64915,-161.047,64915,100.373
64916,-60.6741,64916,-161.059,64916,100.385
64917,69.5966,64917,-160.969,64917,230.566
64918,69.5966,64918,-161.018,64918,230.615
64919,69.5966,64919,-165.34,64919,234.937
64920,69.5966,64920,-177.045,64920,246.641
64921,69.5966,64921,169.085,64921,-99.4881
64922,69.5966,64922,153.658,64922,-84.0615
64923,69.5966,64923,152.372,64923,-82.775
64924,69.5966,64924,152.268,64924,-82.6716
64925,69.5966,64925,152.354,64925,-82.7576
64926,69.5966,64926,152.24,64926,-82.6435
64927,69.5966,64927,152.333,64927,-82.7366
64928,69.5966,64928,152.349,64928,-82.7523
64929,69.5966,64929,152.339,64929,-82.7423
64930,69.5966,64930,152.349,64930,-82.7527
64931,69.5966,64931,152.341,64931,-82.7447
64932,69.5966,64932,152.321,64932,-82.7241
64933,69.5966,64933,152.34,64933,-82.7434
64934,69.5966,64934,152.339,64934,-82.7425
64935,69.5966,64935,152.352,64935,-82.7553
64936,69.5966,64936,152.345,64936,-82.7487
64937,69.5966,64937,152.344,64937,-82.7472
64938,69.5966,64938,152.35,64938,-82.7539
64939,69.5966,64939,152.339,64939,-82.742
64940,69.5966,64940,152.341,64940,-82.7443
64941,69.5966,64941,152.346,64941,-82.7492
64942,69.5966,64942,152.336,64942,-82.7398
64943,69.5966,64943,152.347,64943,-82.7502
64944,69.5966,64944,152.325,64944,-82.7282
64945,69.5966,64945,152.334,64945,-82.7375
64946,69.5966,64946,152.326,64946,-82.729
64947,69.5966,64947,152.335,64947,-82.7389
64948,69.5966,64948,152.345,64948,-82.7482
64949,69.5966,64949,152.341,64949,-82.7441
64950,69.5966,64950,152.354,64950,-82.7578
64951,69.5966,64951,152.332,64951,-82.7359
64952,69.5966,64952,152.331,64952,-82.7347
64953,69.5966,64953,152.337,64953,-82.7404
64954,69.5966,64954,152.355,64954,-82.7587
64955,69.5966,64955,152.349,64955,-82.7525
64956,69.5966,64956,152.34,64956,-82.7432
64957,69.5966,64957,152.349,64957,-82.7521
64958,69.5966,64958,152.33,64958,-82.7339
64959,69.5966,64959,152.336,64959,-82.7396
64960,69.5966,64960,152.327,64960,-82.7302
64961,69.5966,64961,152.34,64961,-82.7436
64962,69.5966,64962,152.333,64962,-82.7365
64963,69.5966,64963,152.338,64963,-82.7416
64964,69.5966,64964,152.257,64964,-82.6601
64965,69.5966,64965,152.345,64965,-82.7486
64966,69.5966,64966,152.343,64966,-82.7463
64967,69.5966,64967,152.353,64967,-82.7567
64968,69.5966,64968,152.358,64968,-82.7613
64969,69.5966,64969,152.325,64969,-82.7288
64970,69.5966,64970,152.333,64970,-82.7363
64971,69.5966,64971,152.329,64971,-82.7322
64972,69.5966,64972,152.32,64972,-82.7239
64973,69.5966,64973,152.337,64973,-82.7404
64974,69.5966,64974,152.337,64974,-82.7409
64975,69.5966,64975,152.335,64975,-82.7386
64976,69.5966,64976,152.339,64976,-82.7425
64977,69.5966,64977,152.331,64977,-82.734
64978,69.5966,64978,152.323,64978,-82.7264
64979,69.5966,64979,152.341,64979,-82.7441
64980,69.5966,64980,152.333,64980,-82.736
64981,69.5966,64981,152.331,64981,-82.7341
64982,69.5966,64982,152.33,64982,-82.7337
64983,69.5966,64983,152.335,64983,-82.7379
64984,69.5966,64984,152.319,64984,-82.7227
64985,69.5966,64985,152.328,64985,-82.7314
64986,69.5966,64986,152.328,64986,-82.7318
64987,69.5966,64987,152.332,64987,-82.7357
64988,69.5966,64988,152.352,64988,-82.7551
64989,69.5966,64989,152.325,64989,-82.728
64990,69.5966,64990,152.339,64990,-82.7429
64991,69.5966,64991,152.344,64991,-82.7475
64992,69.5966,64992,152.34,64992,-82.7429
64993,69.5966,64993,152.337,64993,-82.7404
64994,69.5966,64994,152.342,64994,-82.7451
64995,69.5966,64995,152.332,64995,-82.7353
64996,69.5966,64996,152.338,64996,-82.7419
64997,69.5966,64997,152.347,64997,-82.7505
64998,69.5966,64998,152.25,64998,-82.6535
64999,69.5966,64999,152.347,64999,-82.7506
65000,69.5966,65000,152.332,65000,-82.735
65001,69.5966,65001,152.345,65001,-82.7482
65002,69.5966,65002,152.34,65002,-82.7434
65003,69.5966,65003,152.321,65003,-82.7248
65004,69.5966,65004,152.335,65004,-82.7385
65005,69.5966,65005,152.342,65005,-82.745
