Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error,,,
34425,-75.1525,34425,-80.5541,34425,5.40161,,,
34426,-75.1525,34426,-78.6098,34426,3.45729,,,
34427,-75.1525,34427,-78.8761,34427,3.72364,,,
34428,-75.1525,34428,-79.0892,34428,3.93672,,,
34429,-75.1525,34429,-78.4944,34429,3.34188,,,
34430,-75.1525,34430,-78.7518,34430,3.59935,,,
34431,-75.1525,34431,-79.0182,34431,3.86569,,,
34432,-75.1525,34432,-79.0803,34432,3.92784,,,
34433,-75.1525,34433,-79.0981,34433,3.94559,,,
34434,-75.1525,34434,-78.5831,34434,3.43066,,,
34435,-75.1525,34435,-78.9649,34435,3.81242,,,
34436,-75.1525,34436,-79.0182,34436,3.86569,,,
34437,-75.1525,34437,-79.7018,34437,4.54931,,,
34438,-75.1525,34438,-78.5032,34438,3.35076,,,
34439,-75.1525,34439,-78.7696,34439,3.6171,,,
34440,-75.1525,34440,-79.1158,34440,3.96335,,,
34441,76.7454,34441,-80.1546,34441,156.9,,,
34442,76.7454,34442,-76.7809,34442,153.526,,,
34443,76.7454,34443,-68.8971,34443,145.642,,,
34444,76.7454,34444,-57.2489,34444,133.994,,,
34445,76.7454,34445,-44.3756,34445,121.121,,,
34446,76.7454,34446,-29.8154,34446,106.561,,,
34447,76.7454,34447,-15.6902,34447,92.4356,,,
34448,76.7454,34448,-1.76031,34448,78.5057,,,
34449,76.7454,34449,11.7789,34449,64.9665,,,
34450,76.7454,34450,26.6321,34450,50.1133,,,
34451,76.7454,34451,41.3433,34451,35.4021,,,
34452,76.7454,34452,56.4185,34452,20.3269,,,
34453,76.7454,34453,74.8941,34453,1.85135,,,
34454,76.7454,34454,88.3801,34454,-11.6347,,,
34455,76.7454,34455,93.9378,34455,-17.1924,,,
34456,76.7454,34456,94.1864,34456,-17.441,,,
34457,76.7454,34457,90.5641,34457,-13.8187,,,17.4464
34458,76.7454,34458,84.9087,34458,-8.16328,,,
34459,76.7454,34459,79.0935,34459,-2.34805,,,
34460,76.7454,34460,72.5502,34460,4.1952,,,
34461,76.7454,34461,70.5615,34461,6.18392,,,
34462,76.7454,34462,70.5526,34462,6.1928,,,
34463,76.7454,34463,70.6503,34463,6.09514,,,
34464,76.7454,34464,71.9642,34464,4.78116,,,
34465,76.7454,34465,70.3484,34465,6.397,,,
34466,76.7454,34466,71.2629,34466,5.48254,,,
34467,76.7454,34467,71.6979,34467,5.04751,,,
34468,76.7454,34468,71.9554,34468,4.79004,,,
34469,76.7454,34469,71.396,34469,5.34937,,,
34470,76.7454,34470,71.6002,34470,5.14517,,,
34471,76.7454,34471,71.5736,34471,5.1718,,,
34472,76.7454,34472,71.8044,34472,4.94097,,,
34473,76.7454,34473,71.4404,34473,5.30498,,,
34474,76.7454,34474,71.2806,34474,5.46478,,,
34475,76.7454,34475,71.8932,34475,4.85219,,,
34476,76.7454,34476,72.7189,34476,4.02651,,,
34477,76.7454,34477,72.9053,34477,3.84007,,,
34478,76.7454,34478,72.4614,34478,4.28398,,,
34479,76.7454,34479,72.6035,34479,4.14193,,,
34480,76.7454,34480,72.8432,34480,3.90222,,,
34481,76.7454,34481,72.8166,34481,3.92885,,,
34482,76.7454,34482,74.2548,34482,2.49058,,,
34483,76.7454,34483,72.6567,34483,4.08866,,,
34484,76.7454,34484,72.7011,34484,4.04427,,,
34485,76.7454,34485,72.8343,34485,3.9111,,,
34486,76.7454,34486,72.9231,34486,3.82231,,,
34487,76.7454,34487,72.4437,34487,4.30174,,,
34488,76.7454,34488,72.7544,34488,3.991,,,
34489,76.7454,34489,72.8698,34489,3.87558,,,
34490,76.7454,34490,74.317,34490,2.42843,,,
34491,76.7454,34491,72.7011,34491,4.04427,,,
34492,76.7454,34492,72.6923,34492,4.05315,,,
34493,76.7454,34493,72.9053,34493,3.84007,,,
34494,76.7454,34494,72.8876,34494,3.85783,,,
34495,76.7454,34495,73.9441,34495,2.80132,,,
34496,76.7454,34496,72.6301,34496,4.1153,,,
34497,76.7454,34497,72.6745,34497,4.0709,,,
34498,76.7454,34498,72.6656,34498,4.07978,,,
34499,76.7454,34499,72.8965,34499,3.84895,,,
34500,76.7454,34500,74.1483,34500,2.59712,,,
34501,76.7454,34501,72.5946,34501,4.15081,,,
34502,76.7454,34502,72.6124,34502,4.13305,,,
34503,76.7454,34503,72.7366,34503,4.00876,,,
34504,76.7454,34504,72.8876,34504,3.85783,,,
34505,76.7454,34505,72.8876,34505,3.85783,,,
34506,76.7454,34506,73.0296,34506,3.71578,,,
34507,76.7454,34507,72.5857,34507,4.15969,,,
34508,76.7454,34508,72.8077,34508,3.93773,,,
34509,76.7454,34509,72.781,34509,3.96437,,,
34510,76.7454,34510,72.8166,34510,3.92885,,,
34511,76.7454,34511,73.0296,34511,3.71578,,,
34512,76.7454,34512,73.5179,34512,3.22747,,,
34513,76.7454,34513,72.6923,34513,4.05315,,,
34514,76.7454,34514,72.5768,34514,4.16856,,,
34515,76.7454,34515,72.6656,34515,4.07978,,,
34516,76.7454,34516,72.9497,34516,3.79568,,,
34517,76.7454,34517,74.3614,34517,2.38404,,,
34518,76.7454,34518,72.6567,34518,4.08866,,,
34519,76.7454,34519,72.9675,34519,3.77792,,,
34520,76.7454,34520,72.9497,34520,3.79568,,,
34521,76.7454,34521,73.0651,34521,3.68026,,,
34522,76.7454,34522,73.2871,34522,3.45831,,,
34523,76.7454,34523,72.4525,34523,4.29286,,,
34524,76.7454,34524,72.5502,34524,4.1952,,,
