Time - Setpoint,Amplitude - Setpoint,Time - PV,Tiempo real,Amplitude - PV,Time - Error,Amplitude - Error,
14955,-50.4256,14955,2991,-51.9486,14955,1.52307,1.52307
14956,-50.4256,14956,2991.2,-52.0285,14956,1.60297,1.60297
14957,48.0616,14957,2991.4,-51.9486,14957,100.01,100.01
14958,48.0616,14958,2991.6,-50.9188,14958,98.9804,98.9804
14959,48.0616,14959,2991.8,-46.7638,14959,94.8254,94.8254
14960,48.0616,14960,2992,-38.0809,14960,86.1426,86.1426
14961,48.0616,14961,2992.2,-27.1963,14961,75.2579,75.2579
14962,48.0616,14962,2992.4,-15.3262,14962,63.3878,63.3878
14963,48.0616,14963,2992.6,-3.36726,14963,51.4289,51.4289
14964,48.0616,14964,2992.8,8.6538,14964,39.4078,39.4078
14965,48.0616,14965,2993,20.3197,14965,27.7419,27.7419
14966,48.0616,14966,2993.2,32.3941,14966,15.6675,15.6675
14967,48.0616,14967,2993.4,42.5241,14967,5.53752,5.53752
14968,48.0616,14968,2993.6,51.9172,14968,-3.85562,3.85562
14969,48.0616,14969,2993.8,59.0287,14969,-10.9671,10.9671
14970,48.0616,14970,2994,58.0965,14970,-10.0349,10.0349
14971,48.0616,14971,2994.2,52.6719,14971,-4.61027,4.61027
14972,48.0616,14972,2994.4,44.6993,14972,3.36236,3.36236
14973,48.0616,14973,2994.6,40.855,14973,7.20662,7.20662
14974,48.0616,14974,2994.8,41.4143,14974,6.64729,6.64729
14975,48.0616,14975,2995,44.3708,14975,3.69085,3.69085
14976,48.0616,14976,2995.2,48.8454,14976,-0.783764,0.783764
14977,48.0616,14977,2995.4,52.4322,14977,-4.37056,4.37056
14978,48.0616,14978,2995.6,52.5476,14978,-4.48597,4.48597
14979,48.0616,14979,2995.8,51.5444,14979,-3.48274,3.48274
14980,48.0616,14980,2996,49.3603,14980,-1.2987,1.2987
14981,48.0616,14981,2996.2,45.4983,14981,2.56332,2.56332
14982,48.0616,14982,2996.4,45.1787,14982,2.88293,2.88293
14983,48.0616,14983,2996.6,45.4362,14983,2.62547,2.62547
14984,48.0616,14984,2996.8,45.6226,14984,2.43902,2.43902
14985,48.0616,14985,2997,47.4959,14985,0.565723,0.565723
14986,48.0616,14986,2997.2,46.9898,14986,1.07178,1.07178
14987,48.0616,14987,2997.4,46.9011,14987,1.16056,1.16056
14988,48.0616,14988,2997.6,46.8212,14988,1.24047,1.24047
14989,48.0616,14989,2997.8,46.9543,14989,1.10729,1.10729
14990,48.0616,14990,2998,46.8833,14990,1.17832,1.17832
14991,48.0616,14991,2998.2,47.123,14991,0.938607,0.938607
14992,48.0616,14992,2998.4,46.8478,14992,1.21383,1.21383
14993,48.0616,14993,2998.6,46.8744,14993,1.1872,1.1872
14994,48.0616,14994,2998.8,46.9543,14994,1.10729,1.10729
14995,48.0616,14995,2999,46.9721,14995,1.08954,1.08954
14996,48.0616,14996,2999.2,49.3514,14996,-1.28982,1.28982
14997,48.0616,14997,2999.4,49.5556,14997,-1.49402,1.49402
14998,48.0616,14998,2999.6,49.7776,14998,-1.71598,1.71598
14999,48.0616,14999,2999.8,49.9552,14999,-1.89354,1.89354
15000,48.0616,15000,3000,49.822,15000,-1.76037,1.76037
15001,48.0616,15001,3000.2,50.257,15001,-2.1954,2.1954
