Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error,
15280,-40.8805,15280,-41.4191,15280,0.538673,0.538673
15281,-40.8805,15281,-41.4813,15281,0.60082,0.60082
15282,-40.8805,15282,-41.5434,15282,0.662968,0.662968
15283,-40.8805,15283,-41.5612,15283,0.680724,0.680724
15284,-40.8805,15284,-41.5345,15284,0.654089,0.654089
15285,-40.8805,15285,-41.5345,15285,0.654089,0.654089
15286,-40.8805,15286,-41.5434,15286,0.662968,0.662968
15287,44.146,15287,-41.4724,15287,85.6183,85.6183
15288,44.146,15288,-39.6524,15288,83.7983,83.7983
15289,44.146,15289,-35.2932,15289,79.4391,79.4391
15290,44.146,15290,-26.3973,15290,70.5432,70.5432
15291,44.146,15291,-13.4262,15291,57.5722,57.5722
15292,44.146,15292,-1.0323,15292,45.1782,45.1782
15293,44.146,15293,12.0541,15293,32.0918,32.0918
15294,44.146,15294,24.8476,15294,19.2983,19.2983
15295,44.146,15295,36.0253,15295,8.12069,8.12069
15296,44.146,15296,45.8889,15296,-1.74299,1.74299
15297,44.146,15297,56.0545,15297,-11.9085,11.9085
15298,44.146,15298,56.2232,15298,-12.0772,12.0772
15299,44.146,15299,51.4556,15299,-7.30963,7.30963
15300,44.146,15300,43.6783,15300,0.467678,0.467678
15301,44.146,15301,35.8388,15301,8.30713,8.30713
15302,44.146,15302,33.424,15302,10.722,10.722
15303,44.146,15303,37.6944,15303,6.45158,6.45158
15304,44.146,15304,46.4394,15304,-2.29344,2.29344
15305,44.146,15305,51.9883,15305,-7.84232,7.84232
15306,44.146,15306,52.0504,15306,-7.90447,7.90447
15307,44.146,15307,45.8534,15307,-1.70748,1.70748
15308,44.146,15308,39.7807,15308,4.36521,4.36521
15309,44.146,15309,37.1084,15309,7.03755,7.03755
15310,44.146,15310,37.6056,15310,6.54037,6.54037
15311,44.146,15311,44.3974,15311,-0.251456,0.251456
15312,44.146,15312,48.3216,15312,-4.17562,4.17562
15313,44.146,15313,48.3748,15313,-4.22889,4.22889
15314,44.146,15314,45.9333,15314,-1.78739,1.78739
15315,44.146,15315,43.0213,15315,1.12466,1.12466
15316,44.146,15316,41.3078,15316,2.83816,2.83816
15317,44.146,15317,40.713,15317,3.433,3.433
15318,44.146,15318,41.512,15318,2.63396,2.63396
15319,44.146,15319,44.9212,15319,-0.77527,0.77527
15320,44.146,15320,45.8623,15320,-1.71636,1.71636
15321,44.146,15321,46.2618,15321,-2.11588,2.11588
15322,44.146,15322,45.1787,15322,-1.03274,1.03274
15323,44.146,15323,45.8179,15323,-1.67197,1.67197
15324,44.146,15324,45.7203,15324,-1.57431,1.57431
15325,44.146,15325,46.6614,15325,-2.5154,2.5154
15326,44.146,15326,44.8502,15326,-0.704245,0.704245
15327,44.146,15327,45.374,15327,-1.22806,1.22806
15328,44.146,15328,45.1521,15328,-1.0061,1.0061
15329,44.146,15329,45.2764,15329,-1.1304,1.1304
15330,44.146,15330,45.1432,15330,-0.997225,0.997225
15331,44.146,15331,45.0988,15331,-0.952834,0.952834
15332,44.146,15332,45.1609,15332,-1.01498,1.01498
15333,44.146,15333,45.2497,15333,-1.10376,1.10376
15334,44.146,15334,45.8712,15334,-1.72524,1.72524
15335,44.146,15335,44.6549,15335,-0.508924,0.508924
15336,44.146,15336,45.1609,15336,-1.01498,1.01498
15337,44.146,15337,45.2408,15337,-1.09489,1.09489
15338,44.146,15338,45.2231,15338,-1.07713,1.07713
15339,44.146,15339,45.081,15339,-0.935078,0.935078
15340,44.146,15340,45.0366,15340,-0.890687,0.890687
15341,44.146,15341,45.2586,15341,-1.11264,1.11264
15342,44.146,15342,45.2852,15342,-1.13928,1.13928
15343,44.146,15343,45.2142,15343,-1.06825,1.06825
15344,44.146,15344,45.6404,15344,-1.4944,1.4944
15345,44.146,15345,46.3151,15345,-2.16915,2.16915
15346,44.146,15346,45.7824,15346,-1.63646,1.63646
15347,44.146,15347,44.7969,15347,-0.650975,0.650975
15348,44.146,15348,45.0988,15348,-0.952834,0.952834
