DC_90_Time_Setpoint,DC_90_Amplitude_Setpoint,DC_90_Time_PV,DC_90_Amplitude_PV,DC_90_Time_Error,DC_90_Amplitude_Error,DC_80_Time_Setpoint,DC_80_Amplitude_Setpoint,DC_80_Time_PV,DC_80_Amplitude_PV,DC_80_Time_Error,DC_80_Amplitude_Error,DC_70_Time_Setpoint,DC_70_Amplitude_Setpoint,DC_70_Time_PV,DC_70_Amplitude_PV,DC_70_Time_Error,DC_70_Amplitude_Error,DC_60_Time_Setpoint,DC_60_Amplitude_Setpoint,DC_60_Time_PV,DC_60_Amplitude_PV,DC_60_Time_Error,DC_60_Amplitude_Error,DC_50_Time_Setpoint,DC_50_Amplitude_Setpoint,DC_50_Time_PV,DC_50_Amplitude_PV,DC_50_Time_Error,DC_50_Amplitude_Error,DC_40_Time_Setpoint,DC_40_Amplitude_Setpoint,DC_40_Time_PV,DC_40_Amplitude_PV,DC_40_Time_Error,DC_40_Amplitude_Error,DC_30_Time_Setpoint,DC_30_Amplitude_Setpoint,DC_30_Time_PV,DC_30_Amplitude_PV,DC_30_Time_Error,DC_30_Amplitude_Error,DC_20_Time_Setpoint,DC_20_Amplitude_Setpoint,DC_20_Time_PV,DC_20_Amplitude_PV,DC_20_Time_Error,DC_20_Amplitude_Error,DC_10_Time_Setpoint,DC_10_Amplitude_Setpoint,DC_10_Time_PV,DC_10_Amplitude_PV,DC_10_Time_Error,DC_10_Amplitude_Error
5721,-67.5993,5721,69.4073,5721,-137.007,6119,-70.6197,6119,-68.1335,6119,-2.48612,6631,-63.1121,6631,-55.8905,6631,-7.22151,6780,56.4364,6780,67.8714,6780,-11.435,6953,-21.759,6953,-18.7443,6953,-3.01474,6953,-21.759,6953,-18.7443,6953,-3.01474,6953,-21.759,6953,-18.7443,6953,-3.01474,12068,-34.9004,12068,-34.4942,12068,-0.406205,13504,-30.0234,13504,-31.5732,13504,1.54985
5722,-67.5993,5722,73.6689,5722,-141.268,6120,-70.6197,6120,-63.0996,6120,-7.52004,6632,-63.1121,6632,-66.5621,6632,3.45005,6781,56.4364,6781,66.4598,6781,-10.0233,6954,-21.759,6954,-22.6862,6954,0.927172,6954,-21.759,6954,-22.6862,6954,0.927172,6954,-21.759,6954,-22.6862,6954,0.927172,12069,-34.9004,12069,-34.9647,12069,0.0643382,13505,-30.0234,13505,-31.6975,13505,1.67414
5723,-67.5993,5723,73.66,5723,-141.259,6121,-70.6197,6121,-63.1263,6121,-7.4934,6633,-63.1121,6633,-71.9156,6633,8.80359,6782,56.4364,6782,60.467,6782,-4.03052,6955,-21.759,6955,-26.0155,6955,4.25649,6955,-21.759,6955,-26.0155,6955,4.25649,6955,-21.759,6955,-26.0155,6955,4.25649,12070,-34.9004,12070,-35.0446,12070,0.144242,13506,-30.0234,13506,-32.097,13506,2.07366
5724,-67.5993,5724,63.2103,5724,-130.81,6122,-70.6197,6122,-70.2643,6122,-0.355357,6634,-63.1121,6634,-72.2264,6634,9.11432,6783,56.4364,6783,51.2425,6783,5.19393,6956,-21.759,6956,-23.7427,6956,1.98367,6956,-21.759,6956,-23.7427,6956,1.98367,6956,-21.759,6956,-23.7427,6956,1.98367,12071,-34.9004,12071,-35.1423,12071,0.241902,13507,-30.0234,13507,-31.3335,13507,1.31014
5725,-67.5993,5725,49.4136,5725,-117.013,6123,-70.6197,6123,-81.5573,6123,10.9377,6635,-63.1121,6635,-66.2336,6635,3.12156,6784,56.4364,6784,46.5814,6784,9.85499,6957,-21.759,6957,-15.7701,6957,-5.98893,6957,-21.759,6957,-15.7701,6957,-5.98893,6957,-21.759,6957,-15.7701,6957,-5.98893,12072,-34.9004,12072,-34.4054,12072,-0.494987,13508,-30.0234,13508,-31.5644,13508,1.54097
5726,-67.5993,5726,37.579,5726,-105.178,6124,-70.6197,6124,-86.1296,6124,15.5099,6636,-63.1121,6636,-55.2336,6636,-7.87849,6785,56.4364,6785,46.4838,6785,9.95265,6958,-21.759,6958,-12.4052,6958,-9.35376,6958,-21.759,6958,-12.4052,6958,-9.35376,6958,-21.759,6958,-12.4052,6958,-9.35376,12073,-34.9004,12073,-33.8816,12073,-1.0188,13509,-30.0234,13509,-31.5732,13509,1.54985
5727,-67.5993,5727,23.9332,5727,-91.5325,6125,-70.6197,6125,-86.0053,6125,15.3856,6637,-63.1121,6637,-49.6581,6637,-13.454,6786,56.4364,6786,51.7486,6786,4.68787,6959,-21.759,6959,-15.5126,6959,-6.2464,6959,-21.759,6959,-15.5126,6959,-6.2464,6959,-21.759,6959,-15.5126,6959,-6.2464,12074,-34.9004,12074,-33.9526,12074,-0.947774,13510,-30.0234,13510,-31.6709,13510,1.64751
5728,-67.5993,5728,8.0856,5728,-75.6849,6126,-70.6197,6126,-78.1925,6126,7.57285,6638,-63.1121,6638,-49.8356,6638,-13.2764,6787,56.4364,6787,61.8253,6787,-5.38889,6960,-21.759,6960,-23.716,6960,1.95704,6960,-21.759,6960,-23.716,6960,1.95704,6960,-21.759,6960,-23.716,6960,1.95704,12075,-34.9004,12075,-34.1124,12075,-0.787967,13511,-30.0234,13511,-31.3424,13511,1.31902
5729,-67.5993,5729,-8.80958,5729,-58.7897,6127,-70.6197,6127,-66.9971,6127,-3.62252,6639,-63.1121,6639,-56.0415,6639,-7.07058,6788,56.4364,6788,66.1845,6788,-9.74809,6961,-21.759,6961,-26.9299,6961,5.17094,6961,-21.759,6961,-26.9299,6961,5.17094,6961,-21.759,6961,-26.9299,6961,5.17094,12076,-34.9004,12076,-34.2189,12076,-0.681428,13512,-30.0234,13512,-31.4312,13512,1.4078
5730,-67.5993,5730,-26.7879,5730,-40.8114,6128,-70.6197,6128,-61.9366,6128,-8.68308,6640,-63.1121,6640,-66.6598,6640,3.54771,6789,56.4364,6789,65.2079,6789,-8.77149,6962,-21.759,6962,-24.2842,6962,2.52524,6962,-21.759,6962,-24.2842,6962,2.52524,6962,-21.759,6962,-24.2842,6962,2.52524,12077,-34.9004,12077,-34.9114,12077,0.0110691,13513,-30.0234,13513,-31.662,13513,1.63863
